nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,text_9.started,text_9.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_6.started,image_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_8.started,image_8.stopped,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,image_9.started,image_9.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8100583750056103,7.525868625001749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.525868625001749,None,8.357129541996983,None,space,0.4966965830026311,8.849859292000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.353155124998011,None,,,,,8.849859292000474,None,space,0.397464248999313,9.846959167000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25406270899839,None,,,,,,,,,,,9.846959167000023,None,space,0.3366646239956026,10.756865000003017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Surprise 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,13.297756583997398,None,,,,,,,,,,,,,,,,,10.756865000003017,None,11.610764917000779,None,space,0.27945483299845364,11.610764917000779,None,1,1.3439388330007205,11.94060570900183,None,11.94060570900183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Tiger 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,14.041792333999183,None,,,,,,,,,,,,,,,,,,,,,,,,,2,0.22372924899536883,13.806805334003002,None,13.806805334003002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Fire 7.jpg,1,1.7007,0.2575505223871397,0,0,0,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,16.930692667003314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54335533399717,None,space,1.4864224159973674,14.54335533399717,None,1,1,0.8225307489992701,16.09555362500396,None,16.09555362500396,None,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Birthday 3.jpg,1,5.5506,0.319524409358253,0,0,0,1,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,17.646971624999424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.20177641599730123,17.431560334000096,None,17.431560334000096,None,,,,,,,,,,,,,,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Elephant 1.jpg,2,5.8272,0.727686106610318,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,20.46480895899731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.140340083999035,None,space,1.372550999003579,18.140340083999035,None,1,0,0.8958137070003431,19.55699645900313,None,19.55699645900313,None,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
0,1,Images/Flowers 6.jpg,1,5.9556,0.947680247901311,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,21.256031083998096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2686443330021575,20.97190099999716,None,20.97190099999716,None,,,,,,,,,001,A,2022_Sep_28_1322,psychopy,2021.2.3,None,
